temperature	air_quality	carbon_monoxide	gas_and_smoke	label
31.19	227	368	195	Non-Fire
31.19	222	369	179	Non-Fire
31.19	226	369	197	Non-Fire
31.19	227	368	194	Non-Fire
31.19	215	368	187	Non-Fire
31.19	223	366	186	Non-Fire
31.19	210	354	181	Non-Fire
31.19	223	355	178	Non-Fire
31.19	221	354	197	Non-Fire
31.19	214	368	193	Non-Fire
31.19	214	370	194	Non-Fire
31.19	211	355	195	Non-Fire
31.19	222	368	194	Non-Fire
31.13	223	365	191	Non-Fire
31.13	224	367	183	Non-Fire
31.06	215	366	179	Non-Fire
31.06	226	353	184	Non-Fire
31.06	225	358	176	Non-Fire
31.06	214	367	187	Non-Fire
31.06	215	353	190	Non-Fire
31.06	220	368	195	Non-Fire
31.06	220	367	192	Non-Fire
31.06	248	360	201	Non-Fire
31.06	213	366	192	Non-Fire
31	220	358	190	Non-Fire
31	224	366	183	Non-Fire
31	224	360	190	Non-Fire
31	219	368	192	Non-Fire
31	210	356	179	Non-Fire
31	221	355	184	Non-Fire
31	208	365	178	Non-Fire
30.94	218	354	196	Non-Fire
30.94	224	358	201	Non-Fire
31	217	369	198	Non-Fire
31	219	368	194	Non-Fire
31	225	365	188	Non-Fire
30.94	226	355	176	Non-Fire
30.94	230	368	195	Non-Fire
30.94	222	366	182	Non-Fire
30.94	226	369	189	Non-Fire
30.94	214	368	193	Non-Fire
30.94	224	371	189	Non-Fire
30.94	226	357	183	Non-Fire
30.94	218	359	192	Non-Fire
30.94	220	357	198	Non-Fire
30.94	224	359	195	Non-Fire
30.94	226	356	189	Non-Fire
30.94	222	368	186	Non-Fire
30.94	209	374	185	Non-Fire
30.94	215	373	179	Non-Fire
30.94	221	368	194	Non-Fire
30.94	225	368	196	Non-Fire
30.94	210	374	178	Non-Fire
30.88	221	357	186	Non-Fire
30.94	224	359	192	Non-Fire
30.94	217	358	199	Non-Fire
30.94	213	359	182	Non-Fire
30.94	223	370	195	Non-Fire
30.94	219	370	198	Non-Fire
30.94	227	358	193	Non-Fire
30.94	211	368	189	Non-Fire
30.94	213	361	179	Non-Fire
30.88	228	354	178	Non-Fire
30.88	226	370	197	Non-Fire
30.94	225	355	194	Non-Fire
30.94	218	364	178	Non-Fire
30.88	217	356	192	Non-Fire
30.88	221	358	192	Non-Fire
30.88	218	360	182	Non-Fire
30.88	216	358	196	Non-Fire
30.88	218	358	181	Non-Fire
30.88	226	374	183	Non-Fire
30.88	218	359	177	Non-Fire
30.88	216	365	177	Non-Fire
30.88	222	371	182	Non-Fire
30.88	225	368	179	Non-Fire
30.81	225	368	195	Non-Fire
30.81	220	355	177	Non-Fire
30.81	215	365	192	Non-Fire
30.81	218	358	195	Non-Fire
30.81	220	355	182	Non-Fire
30.81	223	368	192	Non-Fire
30.81	211	353	198	Non-Fire
30.88	215	361	197	Non-Fire
30.88	216	355	190	Non-Fire
30.81	214	367	186	Non-Fire
30.81	213	354	184	Non-Fire
30.81	224	355	200	Non-Fire
30.81	227	355	190	Non-Fire
30.81	218	371	192	Non-Fire
30.81	224	357	198	Non-Fire
30.81	219	368	190	Non-Fire
30.81	222	365	193	Non-Fire
30.81	220	362	197	Non-Fire
30.81	218	359	192	Non-Fire
30.81	224	359	199	Non-Fire
30.75	217	367	178	Non-Fire
30.81	213	368	178	Non-Fire
30.75	212	359	192	Non-Fire
30.75	224	368	197	Non-Fire
30.75	215	355	186	Non-Fire
30.75	214	358	195	Non-Fire
30.75	221	365	182	Non-Fire
30.75	224	369	177	Non-Fire
30.75	217	365	199	Non-Fire
30.75	212	365	176	Non-Fire
30.75	218	358	198	Non-Fire
30.69	225	362	187	Non-Fire
30.75	217	368	187	Non-Fire
30.75	212	368	195	Non-Fire
30.69	211	359	199	Non-Fire
30.69	215	354	192	Non-Fire
30.69	219	368	196	Non-Fire
30.69	221	368	180	Non-Fire
30.69	211	353	177	Non-Fire
30.69	222	368	194	Non-Fire
30.69	218	365	195	Non-Fire
30.69	212	365	193	Non-Fire
30.69	220	361	192	Non-Fire
30.69	222	352	192	Non-Fire
30.69	222	368	191	Non-Fire
30.69	215	363	189	Non-Fire
30.69	217	365	196	Non-Fire
30.69	222	367	193	Non-Fire
30.69	212	355	185	Non-Fire
30.69	210	352	192	Non-Fire
30.69	211	362	192	Non-Fire
30.69	208	358	190	Non-Fire
30.69	213	358	181	Non-Fire
30.69	211	365	190	Non-Fire
30.63	222	352	192	Non-Fire
30.69	212	357	182	Non-Fire
30.63	224	363	193	Non-Fire
30.63	208	363	189	Non-Fire
30.63	220	370	187	Non-Fire
30.63	219	355	181	Non-Fire
30.63	222	368	192	Non-Fire
30.63	222	347	186	Non-Fire
30.63	218	355	182	Non-Fire
30.63	209	368	192	Non-Fire
30.63	214	356	198	Non-Fire
30.63	208	361	190	Non-Fire
30.63	222	365	193	Non-Fire
30.63	216	365	191	Non-Fire
30.63	219	368	176	Non-Fire
30.63	219	368	179	Non-Fire
30.63	215	368	179	Non-Fire
30.63	218	362	181	Non-Fire
30.63	209	350	179	Non-Fire
30.63	208	350	178	Non-Fire
30.63	211	364	192	Non-Fire
30.63	211	368	179	Non-Fire
30.63	222	357	177	Non-Fire
30.69	216	358	181	Non-Fire
30.63	224	364	197	Non-Fire
30.69	222	351	177	Non-Fire
30.69	211	365	192	Non-Fire
30.69	219	355	192	Non-Fire
30.69	210	356	193	Non-Fire
30.69	213	363	191	Non-Fire
30.69	208	368	178	Non-Fire
